id,name,position
12237,"Daniel Winkler",P
sa657914,"Lucas Sims",P
4930,"Jon Lester",P
4153,"Jake Arrieta",P
12049,"Kyle Hendricks",P
1507,"John Lackey",P
13453,"Eddie Butler",P
4869,"Mike Montgomery",P
8223,"Brett Anderson",P
13435,"Pierce Johnson",P
7441,"Wade Davis",P
13607,"Carl Edwards Jr.",P
2391,"Hector Rondon",P
9227,"Koji Uehara",P
4070,"Pedro Strop",P
4064,"Brian Duensing",P
13394,"Dylan Floro",P
13834,"Alec Mills",P
10962,"Jake Buchanan",P
12272,"Aaron Brooks",P
13403,"Felix Pena",P
11720,"Justin Grimm",P
15094,"Rob Zastryzny",P
12562,"John Leathersich",P
sa657936,"Duane Underwood Jr.",P
6283,"Scott Feldman",P
978,"Bronson Arroyo",P
10968,"Tim Adleman",P
14375,"Amir Garrett",P
11266,"Lisalverto Bonilla",P
14962,"Rookie Davis",P
13050,"Anthony DeSclafani",P
16208,"Brandon Finnegan",P
8362,"Homer Bailey",P
15232,"Cody Reed",P
13690,"Sal Romano",P
13594,"Robert Stephenson",P
17130,"Raisel Iglesias",P
6983,"Drew Storen",P
14843,"Michael Lorenzen",P
1345,"Blake Wood",P
14295,"Wandy Peralta",P
17237,"Austin Brice",P
10836,"Asher Wojciechowski",P
12555,"Tony Cingrani",P
sa657906,"Nick Travieso",P
12253,"Nefi Ogando",P
14812,"Barrett Astin",P
sa658342,"Jackson Stephens",P
sa657486,"Keury Mella",P
15603,"Ariel Hernandez",P
14916,"Jon Gray",P
4338,"Tyler Chatwood",P
12880,"Tyler Anderson",P
16256,"Kyle Freeland",P
15488,"Antonio Senzatela",P
15038,"German Marquez",P
9895,"Chris Rusin",P
7593,"Jordan Lyles",P
10058,"Tyler Matzek",P
17432,"Jeff Hoffman",P
sa658334,"Yency Almonte",P
15258,"Shane Carle",P
sa658131,"Zach Jemiola",P
7196,"Greg Holland",P
1247,"Adam Ottavino",P
7550,"Jake McGee",P
9948,"Mike Dunn",P
2170,"Chad Qualls",P
13911,"Scott Oberg",P
14542,"Carlos Estevez",P
5876,"Gonzalez Germen",P
sa455370,"Rayan Gonzalez",P
sa709023,"Sam Moll",P
12774,"Jairo Diaz",P
3990,"Edinson Volquez",P
9460,"Dan Straily",P
13071,"Wei-Yin Chen",P
11589,"Jose Urena",P
11754,"Justin Nicolino",P
14457,"Adam Conley",P
2929,"Jeff Locke",P
6570,"Tom Koehler",P
6316,"David Phelps",P
6435,"Vance Worley",P
16017,"Odrisamer Despaigne",P
12118,"Kendry Flores",P
18282,"Jarlin Garcia",P
8350,"A.J. Ramos",P
13713,"Kyle Barraclough",P
7293,"Brad Ziegler",P
8600,"Dustin McGowan",P
4079,"Junichi Tazawa",P
15594,"Nick Wittgren",P
17233,"Brian Ellington",P
18806,"Drew Steckenrider",P
10510,"Hunter Cervenka",P
14697,"Severino Gonzalez",P
11691,"Tayron Guerrero",P
9434,"Dallas Keuchel",P
7754,"Mike Fiers",P
14120,"Lance McCullers",P
4676,"Charlie Morton",P
12970,"Joe Musgrove",P
7531,"Collin McHugh",P
5401,"Brad Peacock",P
17418,"David Paulino",P
12763,"Chris Devenski",P
12910,"Ken Giles",P
4090,"Luke Gregerson",P
3192,"Will Harris",P
8280,"Tony Sipp",P
11903,"Michael Feliz",P
14605,"James Hoyt",P
11543,"Dayan Diaz",P
13313,"Jordan Jankowski",P
10044,"Ashur Tolliver",P
14665,"Jandel Gustave",P
sa548119,"Reymin Guduan",P
2036,"Clayton Kershaw",P
4806,"Rich Hill",P
18498,"Kenta Maeda",P
4662,"Brandon McCarthy",P
13781,"Alex Wood",P
14765,"Julio Urias",P
14444,"Hyun-Jin Ryu",P
4897,"Scott Kazmir",P
13273,"Ross Stripling",P
16727,"Brock Stewart",P
10302,"Chris Heston",P
3096,"Kenley Jansen",P
5420,"Pedro Baez",P
5070,"Josh Fields",P
9817,"Sergio Romo",P
3299,"Chris Hatcher",P
2882,"Luis Avilan",P
10637,"Adam Liberatore",P
11203,"Grant Dayton",P
9346,"Brandon Morrow",P
2951,"Josh Ravin",P
sa737837,"Jacob Rhame",P
10265,"Justin Marks",P
13183,"Zach Davies",P
6895,"Chase Anderson",P
10547,"Jimmy Nelson",P
3340,"Matt Garza",P
5702,"Junior Guerra",P
7738,"Wily Peralta",P
13119,"Taylor Jungmann",P
sa658473,"Josh Hader",P
14527,"Jorge Lopez",P
sa737785,"Taylor Williams",P
15010,"Corey Knebel",P
12323,"Jacob Barnes",P
7624,"Carlos Torres",P
18,"Neftali Feliz",P
9325,"Jared Hughes",P
8823,"Oliver Drake",P
9286,"Rob Scahill",P
8246,"Paolo Espino",P
13942,"Brent Suter",P
10770,"Tyler Cravy",P
3137,"Max Scherzer",P
10131,"Stephen Strasburg",P
8753,"Tanner Roark",P
7448,"Gio Gonzalez",P
12972,"Joe Ross",P
11467,"A.J. Cole",P
sa621465,"Austin Voth",P
10185,"Jacob Turner",P
17695,"Koda Glover",P
12572,"Blake Treinen",P
4300,"Matt Albers",P
4001,"Enny Romero",P
7773,"Shawn Kelley",P
1514,"Oliver Perez",P
4849,"Joe Blanton",P
11457,"Sammy Solis",P
11449,"Matt Grace",P
15046,"Trevor Gott",P
10258,"Rafael Martin",P
sa599293,"Erick Fedde",P
sa680023,"Jimmy Cordero",P
sa658119,"Austin Adams",P
11762,"Noah Syndergaard",P
10954,"Jacob deGrom",P
11713,"Matt Harvey",P
13696,"Robert Gsellman",P
10310,"Zack Wheeler",P
13361,"Steven Matz",P
12447,"Seth Lugo",P
7608,"Tommy Milone",P
12751,"Tyler Pill",P
12760,"Rafael Montero",P
10586,"Addison Reed",P
13892,"Paul Sewald",P
4971,"Fernando Salas",P
7841,"Jerry Blevins",P
10796,"Josh Edgin",P
10285,"Josh Smoker",P
11801,"Hansel Robles",P
5114,"Jeurys Familia",P
7677,"Neil Ramirez",P
12781,"Sean Gilmartin",P
11712,"Erik Goeddel",P
sa503994,"Marcos Molina",P
sa658306,"Chris Flexen",P
sa829392,"Nick Williams",P
16149,"Aaron Nola",P
4371,"Jeremy Hellickson",P
11189,"Vince Velasquez",P
12664,"Jerad Eickhoff",P
13774,"Zach Eflin",P
14371,"Jake Thompson",P
12580,"Adam Morgan",P
15454,"Nick Pivetta",P
sa501726,"Mark Appel",P
sa549720,"Ben Lively",P
sa656014,"Ricardo Pinto",P
11804,"Hector Neris",P
1437,"Joaquin Benoit",P
4682,"Pat Neshek",P
16086,"Edubray Ramos",P
9033,"Jeanmar Gomez",P
11487,"Joely Rodriguez",P
7108,"Pat Venditte",P
15551,"Mark Leiter",P
6984,"Luis Garcia",P
3926,"Casey Fien",P
sa659315,"Alberto Tirado",P
13125,"Gerrit Cole",P
11674,"Jameson Taillon",P
1994,"Ivan Nova",P
14374,"Tyler Glasnow",P
14975,"Chad Kuhl",P
16977,"Trevor Williams",P
5221,"Wade LeBlanc",P
15291,"Steven Brault",P
10732,"Drew Hutchison",P
3132,"Tony Watson",P
12076,"Felipe Rivero",P
7731,"Juan Nicasio",P
7146,"Daniel Hudson",P
11440,"Johnny Barbato",P
5830,"Jhan Marinez",P
8844,"Antonio Bastardo",P
7882,"Josh Lindblom",P
sa598167,"Clay Holmes",P
sa548285,"Nick Kingham",P
11432,"A.J. Schugel",P
11604,"Dovydas Neverauskas",P
13427,"Pat Light",P
11682,"Carlos Martinez",P
2233,"Adam Wainwright",P
10130,"Mike Leake",P
2520,"Lance Lynn",P
14078,"Michael Wacha",P
16918,"Luke Weaver",P
13684,"John Gant",P
15451,"Mike Mayers",P
18719,"Seung Hwan Oh",P
10745,"Trevor Rosenthal",P
8180,"Kevin Siegrist",P
4759,"Jonathan Broxton",P
2660,"Brett Cecil",P
13528,"Matt Bowman",P
13485,"Samuel Tuivailala",P
12777,"John Brebbia",P
11334,"Tyler Lyons",P
2608,"Jhoulys Chacin",P
3551,"Clayton Richard",P
4235,"Jered Weaver",P
14682,"Luis Perdomo",P
6249,"Trevor Cahill",P
10304,"Jarred Cosart",P
7942,"Christian Friedrich",P
17186,"Dinelson Lamet",P
11468,"Zach Lee",P
11378,"Tyrell Jenkins",P
12756,"Jake Esch",P
10354,"Robbie Erlin",P
sa657984,"Walker Lockett",P
4878,"Brandon Maurer",P
9111,"Brad Hand",P
9456,"Ryan Buchter",P
12220,"Keith Hessler",P
12360,"Kevin Quackenbush",P
12803,"Carter Capps",P
18815,"Miguel Diaz",P
7274,"Craig Stammen",P
14470,"Jose Valdez",P
9309,"Buddy Baumann",P
12537,"Cory Mazzoni",P
5524,"Madison Bumgarner",P
6893,"Johnny Cueto",P
3254,"Jeff Samardzija",P
1890,"Matt Moore",P
4732,"Matt Cain",P
14361,"Ty Blach",P
6175,"Albert Suarez",P
sa597784,"Tyler Beede",P
13761,"Chris Stratton",P
sa549740,"Chase Johnson",P
4264,"Mark Melancon",P
13133,"Derek Law",P
7836,"Hunter Strickland",P
9486,"George Kontos",P
7947,"Cory Gearrin",P
13580,"Steven Okert",P
10234,"Bryan Morris",P
11528,"Josh Osich",P
sa597322,"Reyes Moronta",P
