id,name,position
sa659207,"Dawel Lugo",3B/SS
17171,"Yasmany Tomas",OF
3123,"Gregor Blanco",OF
9399,"Jeremy Hazelbaker",OF
12944,"Socrates Brito",OF
9256,"A.J. Pollock",OF
10329,"Rey Fuentes",OF
2136,"David Peralta",OF
10306,"Oswaldo Arcia",OF
9134,"Tyler Flowers",C
8259,"Kurt Suzuki",C
4063,"Anthony Recker",C
5361,"Freddie Freeman",1B
9393,"Matt Adams",1B
14103,"Rio Ruiz",3B
12325,"Jace Peterson",2B
791,"Brandon Phillips",2B
sa830219,"Ozzie Albies",2B/SS
18314,"Dansby Swanson",SS
10322,"Danny Santana",SS/OF
14950,"Johan Camargo",3B
13777,"Adonis Garcia",3B
5631,"Matt Kemp",OF
4054,"Emilio Bonifacio",2B/OF
sa548194,"Mel Rojas Jr.",OF
4922,"Ender Inciarte",OF
5930,"Nick Markakis",OF
11609,"Willson Contreras",C
3364,"Miguel Montero",C
16478,"Kyle Schwarber",OF
sa737618,"Victor Caratini",C
3473,"Anthony Rizzo",1B
15429,"Kris Bryant",3B
12979,"Javier Baez",2B
7435,"Ben Zobrist",2B/OF
12371,"Tommy La Stella",2B/3B
14106,"Addison Russell",2B/SS
13621,"Jeimer Candelario",3B
sa505993,"Christian Villanueva",3B
5227,"Jon Jay",OF
4940,"Jason Heyward",OF
14109,"Albert Almora",OF
17919,"Ian Happ",OF
sa550326,"Jacob Hannemann",OF
5666,"Devin Mesoraco",C
10200,"Tucker Barnhart",C
15207,"Stuart Turner",C
4314,"Joey Votto",1B
10950,"Adam Duvall",OF
13593,"Jose Peraza",2B/SS
10711,"Arismendy Alcantara",2B/OF
10339,"Scooter Gennett",2B
14335,"Dilson Herrera",2B
2616,"Zack Cozart",SS
12552,"Eugenio Suarez",3B/SS
13910,"Patrick Kivlehan",OF
13590,"Jesse Winker",PH/PR
14738,"Phillip Ervin",OF
10199,"Billy Hamilton",OF
12225,"Scott Schebler",OF
sa597058,"Aristides Aquino",OF
11470,"Tony Wolters",C
4952,"Ryan Hanigan",C
9433,"Dustin Garneau",C
13499,"Tom Murphy",C
7619,"Mark Reynolds",1B/3B
6885,"Ian Desmond",SS
8553,"Gerardo Parra",OF
9874,"DJ LeMahieu",2B
9063,"Alexi Amarista",SS/OF
14885,"Pat Valaika",3B/SS
12564,"Trevor Story",SS
9777,"Nolan Arenado",3B
13744,"David Dahl",OF
